# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
AVY      2023 InterestExpenseNonoperating                         119.0     +   no        119.0        119.0       119.0        2622.1   2759      -          0.0         0
AVY      2024 InterestExpenseNonoperating                         117.0     +   no        117.0        117.0       117.0        2559.9   2607      -          0.0         0
AVY      2025 InterestExpenseNonoperating                         135.4     +   no        135.4        135.4       135.4        3210.0   2563      -          0.0         0
SW       2022 InterestExpenseNonoperating                         148.0     +   no        148.0        148.0       148.0        absent   2742      -          0.0         0
SW       2023 InterestExpenseNonoperating                         170.0     +   no        170.0        170.0       170.0        absent   2742      -          0.0         0
SW       2024 InterestExpenseNonoperating                         525.0     +   no        525.0        525.0       525.0       13595.0   3500      -          0.0         0
SW       2025 InterestExpenseNonoperating                         840.0     +   no        840.0        840.0       840.0       13773.0   2711      -          0.0         0
COF      2007 InterestExpense                                    4548.3     +   no       4548.3       4548.3      absent        absent      -      -    no bridge         -
COF      2008 InterestExpense                                    3963.0     +   no       3963.0       3963.0      3963.0        absent   3500      -          0.0         0
COF      2009 InterestExpense                                    2967.0     +   no       2967.0       2967.0      2967.0        absent   2612      -          0.0         0
COF      2010 InterestExpense                                    2896.0     +   no       2896.0       2896.0      2896.0       41796.0   2956      -          0.0         0
COF      2011 InterestExpense                                    2246.0     +   no       2246.0       2246.0      2246.0       39561.0   2908      -          0.0         0
COF      2012 InterestExpense                                    2375.0     +   no       2375.0       2375.0      2375.0       49910.0   2845      -          0.0         0
COF      2013 InterestExpense                                    1792.0     +   no       1792.0       1792.0      1792.0       40654.0   3381      -          0.0         0
COF      2014 InterestExpense                                    1579.0     +   no       1579.0       1579.0      1579.0       31377.0   3267      -          0.0         0
COF      2015 InterestExpense                                    1625.0     +   no       1625.0       1625.0      1625.0       59115.0   3178      -          0.0         0
COF      2016 InterestExpense                                    2018.0     +   no       2018.0       2018.0      2018.0       60460.0   3125      -          0.0         0
COF      2017 InterestExpense                                    2762.0     +   no       2762.0       2762.0      2762.0       60281.0   3500      -          0.0         0
COF      2018 InterestExpense                                    4301.0     +   no       4301.0       4301.0      4301.0       58905.0   1767      -          0.0         0
COF      2019 InterestExpense                                    5173.0     +   no       5173.0       5173.0      5173.0       55697.0   1951      -          0.0         0
COF      2020 InterestExpense                                    3120.0     +   no       3120.0       3120.0      3120.0       40539.0   1517      -          0.0         0
COF      2021 InterestExpense                                    1598.0     +   no       1598.0       1598.0      1598.0       43086.0   2160      -          0.0         0
COF      2022 InterestExpense                                    4123.0     +   no       4123.0       4123.0      4123.0       48715.0   2035      -          0.0         0
COF      2023 InterestExpense                                   12697.0     +   no      12697.0      12697.0     12697.0       49856.0   1916      -          0.0         0
COF      2024 InterestIncomeExpenseNet                          31208.0     +  yes      31208.0     -31208.0     31208.0       45551.0   1968  FIRES     -50132.5    -84755
COF      2025 InterestIncomeExpenseNet                          42878.0     +  yes      42878.0     -42878.0     42878.0       51000.0    846  FIRES     -78501.0    -97372
MPWR     2009 -                                                  absent
